FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Steven,Bergwijn,MID,TOT,7000000,0,39,1.69565217391304,2.42236024844721E-07,5.57142857142857E-06,0,107747,2,11,0,0,0,0,0,5.6,456,-5,0,39,5,0.2,0,1.5,0,0,5,0,3,0.4,32382,0,-1,0,0,1018,236,0,0,78,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,0.9,2.3,1,0.9,0.8,1,0.8,1.2,0,1.7,1,1,0.8,0.9,34.1
Adrian,Bernabe,MID,MCI,4500000,0,0,0,0,0,0,1393,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,-1,0,0,0,9,0,0,0,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernard,MID,EVE,5700000,0,14,0.608695652173913,1.06788710907704E-07,2.45614035087719E-06,0,20011,2,4,0,0,0,1,0,2.5,152,-3,0,14,3,0,0,0.1,1,0,1,0,0,0.1,11602,0,-1,0,0,293,144,0,0,49,Liverpool,Southampton,West Brom,Chelsea,Burnley,0.3,0.6,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25
,Bernardo,DEF,BHA,3900000,0,5,1.7,4.35897435897436E-07,1.28205128205128E-06,0,850249,0,3,0,0,0,0,0,1.3,4869,-1,0,5,1,0,0,0,0,0,0,0,0,4.8,319447,0,-1,0,0,205,0,0,0,30,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
,Bernardo Silva,MID,MCI,7400000,2,67,3.5,4.72972972972973E-07,9.05405405405405E-06,0,146679,3,6,0,0,0,2,0,9.1,4899,-1,0,67,1,0.7,0,5,4,0,10,0,4,1.3,172730,0,-1,0,1,1480,9629,0,0,292,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,2.7,6.7,6.1,3.2,0,2.7,3.1,2.4,0,2.3,3.4,3,3.1,3.1,94.1
Ryan,Bertrand,DEF,SOU,5000000,2,61,2.8,5.6E-07,1.22E-05,0,154544,5,35,0,0,0,0,0,12.2,2074,0,0,61,0,0.2,0,1,2,0,7,0,1,0.9,114624,0,-1,0,0,1968,749,0,0,296,Chelsea,Leeds United F.C.,Everton,Sheffield United,Man City,4.7,2.3,5.4,2.7,0,2.6,2.8,3.1,0,2.7,2.9,2.9,2.3,2.8,54.2
Marcus,Bettinelli,GLK,FUL,4300000,0,0,0,0,0,0,5449,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,895,0,-1,0,0,0,0,0,0,0,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves,Bissouma,MID,BHA,4400000,2,49,2.1,4.77272727272727E-07,1.11363636363636E-05,0,522931,6,28,0,0,0,1,0,11.1,1876,-1,0,49,1,0.6,0,2.5,2,0,7,0,0,1.5,326553,0,-1,0,0,1942,1445,0,1,297,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,1.3,1.8,1,1.3,1.5,1.2,1.2,1.3,2.1,1.2,1.3,1.2,1,1.4,60.4
Jayden,Bogle,DEF,SHU,4300000,1,28,1.16666666666667,2.71317829457364E-07,6.51162790697674E-06,0,12824,1,14,0,0,0,2,0,6.5,321,-2,0,28,2,0.5,0,2.3,0,0,1,0,0,0.1,11867,0,-1,0,1,713,242,0,0,115,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0.7,1.7,0.6,0.7,0,0.6,0.8,0.7,0.6,0.6,0.8,0.6,0.6,0.6,44.9
Mateusz,Bogusz,MID,LEE,4300000,0,0,0,0,0,0,2986,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0,2836,0,-1,0,0,0,0,0,0,0,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Boly,DEF,WOL,5400000,0,58,3.6,6.66666666666667E-07,1.07407407407407E-05,0,257220,1,21,0,0,0,1,0,10.7,2066,-1,0,58,1,0.3,0,1.7,4,0,5,0,1,1.2,156166,0,-1,0,0,1440,26,0,0,293,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,4.6,4,4.1,3.8,4,3.9,3.4,3.5,4.2,48.8
Leo,Bonatini,FWD,WOL,4800000,0,0,0,0,0,0,28074,0,0,0,0,0,0,0,0,31,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,8705,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5400000,0,0,0,0,0,0,4761,0,0,0,0,0,0,0,0,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,634,0,-1,0,0,0,0,0,0,0,Chelsea,Leeds United F.C.,Everton,Sheffield United,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod,Bowen,MID,WHU,6000000,2,92,3.7,6.16666666666667E-07,1.53333333333333E-05,0,715860,0,23,0,0,0,5,0,15.3,4270,-5,0,92,5,0.4,0,2.3,5,0,7,0,3,1.7,698045,0,-1,0,2,1830,758,0,0,281,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,3,2.2,3.2,2.9,3.1,3.2,2.7,3.5,3.5,4.1,3.2,3.6,4,3.7,123.9
Robbie,Brady,MID,BUR,5000000,0,42,2.5,5E-07,8.4E-06,0,15360,3,6,0,0,0,1,0,8.4,121,0,0,42,0,0.1,0,0.6,3,0,7,0,1,0.1,13015,0,-1,0,0,1001,9,0,0,148,West Brom,Tottenham,Leicester,Arsenal,Everton,0,0,0,2.3,0,1.7,2,1.5,1.7,1.7,2.1,1.6,1.4,2.7,46.2
Jarrad,Branthwaite,DEF,EVE,3900000,0,0,0,0,0,0,318961,0,0,0,0,0,0,0,0,1133,-1,0,0,1,0,0,0,0,0,0,0,0,1.2,140402,0,-1,0,0,0,0,0,0,0,Liverpool,Southampton,West Brom,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio,Bravo,GLK,MCI,4500000,0,0,0,0,0,0,1801,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,-1,0,0,0,0,0,0,0,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Bree,DEF,AVL,4500000,0,0,0,0,0,0,10313,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9840,0,-1,0,0,0,0,0,0,0,Leicester,Leeds United F.C.,Sheffield United,Wolverhampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian,Brewster,FWD,SHU,4400000,0,23,0.958333333333333,2.1780303030303E-07,5.22727272727273E-06,0,1259773,0,10,0,0,0,0,0,5.2,16772,-1,0,23,1,0.2,0,0.7,0,0,1,0,0,6.4,1327109,0,-1,0,0,727,18985,0,0,54,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,28.8
Josh,Brownhill,MID,BUR,4900000,3,45,2.2,4.48979591836735E-07,9.18367346938776E-06,0,8789,1,18,0,0,0,0,0,9.2,39,-1,0,45,1,0.1,0,0.7,0,0,8,0,0,0,7444,0,-1,0,0,1690,46,0,0,212,West Brom,Tottenham,Leicester,Arsenal,Everton,1.7,2.4,1.3,1.9,0,1.4,1.6,1.2,1.4,1.3,1.7,1.3,1.1,2.2,61.2
Zak,Brunt,MID,SHU,4500000,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,-1,0,0,0,18,0,0,0,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Bryan,DEF,FUL,4600000,0,12,0.5,1.08695652173913E-07,2.60869565217391E-06,0,67249,2,13,0,0,0,0,0,2.6,189,-4,0,12,4,0,0,0.1,0,0,0,0,1,0.3,15639,0,-1,0,0,449,59,0,0,85,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,17.5
Kean,Bryan,DEF,SHU,3900000,2,14,0.583333333333333,1.4957264957265E-07,3.58974358974359E-06,0,33711,0,6,0,0,0,1,0,3.6,869,-1,0,14,1,0.4,0,1.7,0,0,0,0,0,0.3,54832,0,-1,0,0,384,1415,0,0,61,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0.3,0.6,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,16.4
Hugo,Bueno,DEF,WOL,4000000,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,-1,0,0,0,81,0,0,0,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Burke,MID,SHU,4200000,0,34,1.41666666666667,3.37301587301587E-07,8.09523809523809E-06,0,350794,2,14,0,0,0,1,0,8.1,5179,-3,0,34,3,0.5,0,2.3,0,0,1,0,2,1.6,388091,0,-1,0,0,899,4838,0,0,84,Fulham,Liverpool,Aston Villa,Southampton,Leicester,0.7,1.4,0.8,0.7,0,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.7,1,54.5
Dan,Burn,DEF,BHA,4200000,0,35,1.45833333333333,3.47222222222222E-07,8.33333333333333E-06,0,60626,5,17,0,0,0,0,0,8.3,1770,-3,0,35,3,0.5,0,2.3,0,0,4,0,0,0.6,52669,1,-1,0,0,1289,3936,0,0,171,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,1,1.1,0.8,0.7,0.7,1.1,0.7,0.7,0.8,0.7,1.2,1.1,1.5,1.2,43.2
Jack,Butland,GLK,CRY,4500000,0,0,0,0,0,0,4109,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,5181,0,-1,0,0,0,36,0,0,0,Brighton,Fulham,Man Utd,Tottenham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Button,GLK,WBA,4000000,0,2,0.0833333333333333,2.08333333333333E-08,5E-07,0,261412,0,2,0,4,0,0,0,0.5,4418,0,0,2,0,0,0,0,0,0,0,0,0,3.7,205485,0,-1,0,0,90,765,0,0,18,Burnley,Brighton,Everton,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Oskar,Buur,DEF,WOL,3900000,0,1,1,2.56410256410256E-07,2.56410256410256E-07,0,293774,0,0,0,0,0,0,0,0.3,2135,-1,0,1,1,0,0,0,0,0,0,0,0,1.7,256762,0,-1,0,0,22,0,0,0,2,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Willy,Caballero,GLK,CHE,4600000,0,1,0.0416666666666667,9.05797101449275E-09,2.17391304347826E-07,0,21394,0,3,0,0,0,0,0,0.2,60,-4,0,1,4,0,0,0,0,0,0,0,0,0.2,5609,0,-1,0,0,90,26,0,0,7,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Gary,Cahill,DEF,CRY,4500000,2,17,0.708333333333333,1.57407407407407E-07,3.77777777777778E-06,0,19778,1,23,0,0,0,1,0,3.8,312,0,0,17,0,0.4,0,1.8,0,0,0,0,0,0.2,21014,0,-1,0,0,900,404,0,0,132,Brighton,Fulham,Man Utd,Tottenham,West Brom,0.4,0.8,0.4,0.4,0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,31.1
Moises,Caicedo,MID,BHA,5000000,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,-1,0,0,0,23,0,0,0,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Cain,MID,LIV,4500000,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,-1,0,0,0,21,0,0,0,Everton,Sheffield United,Chelsea,Fulham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Cairney,MID,FUL,5200000,0,27,1.125,2.16346153846154E-07,5.19230769230769E-06,0,27141,2,15,0,0,0,1,0,5.2,74,-3,0,27,3,0,0,0,2,0,1,0,1,0.1,11104,0,-1,0,0,758,6,0,0,160,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,0,0,0,0,0,0.6,0.6,0.6,0,0.6,0.6,0.6,0.6,0.6,57.3
,Callum Robinson,FWD,WBA,5400000,0,52,2.5,4.62962962962963E-07,9.62962962962963E-06,0,213892,0,33,0,0,0,2,0,9.6,3033,-1,0,52,1,0.1,0,0.7,4,0,2,0,3,0.7,232203,0,-1,0,1,1178,2593,0,0,169,Burnley,Brighton,Everton,Newcastle,Crystal Palace,2,3.8,2.6,2.4,0,1.7,2.3,2.2,1.8,2.1,2,2.3,1.7,2.2,54.4
Dominic,Calvert-Lewin,FWD,EVE,7600000,4,124,5.9,7.76315789473684E-07,1.63157894736842E-05,0,5619160,3,26,0,0,0,13,0,16.3,19492,6,1,124,-6,0.5,0,4.1,16,0,5,0,6,36.1,7238480,0,-1,0,3,1791,201535,-1,0,419,Liverpool,Southampton,West Brom,Chelsea,Burnley,8.4,15.5,7,6.1,0,7.6,8.3,6.3,7.8,5.5,7.1,7.4,6.7,6.3,172.9
Leonardo,Campana,FWD,WOL,4800000,0,0,0,0,0,0,38995,0,0,0,0,0,0,0,0,344,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,26279,0,-1,0,0,0,284,0,0,0,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joao Pedro Cavaco,Cancelo,DEF,MCI,6100000,5,107,5.3,8.68852459016393E-07,1.75409836065574E-05,0,759472,4,8,0,0,0,1,0,17.5,15868,6,0,107,-6,0.9,0,5.4,13,0,12,0,2,25.2,2627978,0,-1,0,1,1702,80005,0,0,442,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,6.8,15.1,13.8,6.9,0,6.7,6,6.8,0,5.9,6.4,5.4,6.4,5.5,118.8
Elia,Caprile,GLK,LEE,4000000,0,0,0,0,0,0,21788,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0.3,34041,0,-1,0,0,0,96,0,0,0,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carlos Vinicius,FWD,TOT,6900000,0,7,1.2,1.73913043478261E-07,1.01449275362319E-06,0,21350,0,1,0,0,0,0,0,1,406,-1,0,7,1,0.1,0,0.5,0,0,0,0,0,0.1,23059,0,-1,0,0,160,152,0,0,14,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,0.6,1.3,0.9,0.6,0.6,0.8,0.6,0.8,0,0.8,0.7,0.6,0.6,0.7,12.8
Andy,Carroll,FWD,NEW,5200000,0,26,1.08333333333333,2.08333333333333E-07,5E-06,0,93488,1,8,0,0,0,1,0,5,499,-3,0,26,3,0.1,0,0.3,3,0,1,0,1,0.3,73134,0,-1,0,0,371,420,0,0,66,Man Utd,Wolverhampton,West Brom,Aston Villa,Brighton,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.8,0.5,27.1
Scott,Carson,GLK,MCI,3900000,0,0,0,0,0,0,3611,0,0,0,0,0,0,0,0,686,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,8792,0,-1,0,0,0,1745,0,0,0,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Carter-Vickers,DEF,TOT,3900000,0,0,0,0,0,0,33413,0,0,0,0,0,0,0,0,78,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,18844,0,-1,0,0,0,0,0,0,0,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Casey,DEF,LEE,3900000,0,0,0,0,0,0,109650,0,0,0,0,0,0,0,0,800,-1,0,0,1,0,0,0,0,0,0,0,0,1,109962,0,-1,0,0,0,194,0,0,0,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Cash,DEF,AVL,5000000,0,85,4,8E-07,1.7E-05,0,162801,5,24,0,0,0,0,0,17,15514,0,0,85,0,0.8,0,3.8,8,0,11,0,2,1.1,204535,0,-1,0,1,1822,126,0,0,408,Leicester,Leeds United F.C.,Sheffield United,Wolverhampton,Newcastle,0,0,0,3.9,4.1,4.6,5.2,5.5,4.8,4.4,4.5,4.3,4.4,3.9,76.6
,Casilla,GLK,LEE,4200000,0,2,0.0869565217391304,2.0703933747412E-08,4.76190476190476E-07,0,135617,0,1,0,1,0,0,0,0.5,465,-3,0,2,3,0,0,0,0,0,0,0,0,0.8,30395,0,-1,0,0,90,147,0,0,12,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Timothy,Castagne,DEF,LEI,5700000,2,56,4,7.01754385964912E-07,9.82456140350877E-06,0,1788570,1,14,0,0,0,1,0,9.8,1969,2,0,56,-2,0.1,0,0.8,4,0,4,0,3,3.9,1689895,0,-1,0,2,1175,6655,0,0,249,Aston Villa,Arsenal,Burnley,Brighton,Sheffield United,5.3,9.2,4.8,4.2,0,5.3,5.3,4.6,4.6,3.9,3.7,5.3,4,3.9,51.8
,Cavaleiro,MID,FUL,5300000,3,60,2.6,4.90566037735849E-07,1.13207547169811E-05,0,34192,2,23,0,0,0,3,0,11.3,647,-2,0,60,2,0.5,1,2.4,4,0,5,0,0,0.1,32178,0,-1,0,1,1549,157,0,0,155,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,3,3.3,1.6,1.4,1.7,1.7,2,2,0,1.9,2.2,1.9,1.7,2.1,102.5
Edinson,Cavani,FWD,MUN,7900000,0,58,3.4,4.30379746835443E-07,7.34177215189873E-06,0,766431,1,9,0,0,0,6,0,7.3,46482,-1,1,58,1,0.4,0,3,6,0,3,0,2,4.4,1069744,0,-1,0,1,844,2140,-1,0,218,Newcastle,Chelsea,Crystal Palace,Man City,West Ham,0,6.8,2.5,2.7,0,3.1,3.4,2.9,3.6,3.5,3,2.8,3.1,3.1,73.3
,Ceballos,MID,ARS,4700000,1,39,2.2,4.68085106382979E-07,8.29787234042553E-06,0,242302,3,14,0,0,0,0,0,8.3,312,-3,0,39,3,0.2,0,1,3,0,4,0,2,0.7,140382,0,-1,0,0,1107,107,0,0,229,Man City,Leicester,Burnley,Tottenham,West Ham,1.1,1.4,1.9,1.2,1.4,1.1,2.3,1.5,1.3,1.6,1.7,1.4,1.2,1.4,58.3
,Cedric,DEF,ARS,4600000,0,24,1,2.17391304347826E-07,5.21739130434783E-06,0,45540,1,6,0,0,0,0,0,5.2,955,-4,0,24,4,0.4,0,1.8,3,0,2,0,1,0.3,24635,0,-1,0,0,519,322,0,0,100,Man City,Leicester,Burnley,Tottenham,West Ham,0.8,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.3
,Chamberlain,MID,LIV,6300000,0,10,0.416666666666667,6.61375661375661E-08,1.58730158730159E-06,0,6761,0,5,0,0,0,0,0,1.6,72,-2,0,10,2,0.1,0,0.5,0,0,0,0,1,0,4920,0,-1,0,0,185,44,0,0,28,Everton,Sheffield United,Chelsea,Fulham,Wolverhampton,0.2,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.1
Calum,Chambers,DEF,ARS,4500000,0,0,0,0,0,0,2875,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2637,0,-1,0,0,0,50,0,0,0,Man City,Leicester,Burnley,Tottenham,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kgaogelo,Chauke,MID,SOU,4400000,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,39,-1,0,0,1,0,0,0,0,0,0,0,0,0,388,0,-1,0,0,0,69,0,0,0,Chelsea,Leeds United F.C.,Everton,Sheffield United,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin,Chilwell,DEF,CHE,5800000,0,87,4.8,8.27586206896552E-07,1.5E-05,0,2889369,2,18,0,0,0,2,0,15,78923,3,1,87,-3,0.2,0,1.2,7,0,7,0,4,14.3,3672242,0,-1,0,1,1486,3368,-1,0,349,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,4.6,12.3,4.6,5.3,0,6.4,5.3,5.7,6.2,6.1,6,6.4,5.7,6.3,92.3
Tahith,Chong,MID,MUN,4400000,0,0,0,0,0,0,1471,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,799,0,-1,0,0,0,0,0,0,0,Newcastle,Chelsea,Crystal Palace,Man City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamza,Choudhury,MID,LEI,4700000,1,10,0.416666666666667,8.86524822695036E-08,2.12765957446809E-06,0,6932,1,1,0,0,0,0,0,2.1,31,-3,0,10,3,0.3,0,1.3,0,0,2,0,0,0.1,3070,0,-1,0,0,224,21,0,0,47,Aston Villa,Arsenal,Burnley,Brighton,Sheffield United,0.2,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.2
Andreas,Christensen,DEF,CHE,4700000,0,11,0.458333333333333,9.75177304964539E-08,2.34042553191489E-06,0,27525,1,11,0,0,0,0,0,2.3,354,-3,0,11,3,0.3,0,1.5,0,0,1,0,0,0.2,13352,0,-1,0,0,639,222,0,1,109,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,0.2,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,15.7
Cyrus,Christie,DEF,FUL,4200000,0,0,0,0,0,0,10179,0,0,0,0,0,0,0,0,6,-3,0,0,3,0,0,0,0,0,0,0,0,0,745,0,-1,0,0,0,0,0,0,0,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carney,Chukwuemeka,MID,AVL,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,-1,0,0,0,16,0,0,0,Leicester,Leeds United F.C.,Sheffield United,Wolverhampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciaran,Clark,DEF,NEW,4500000,1,30,2.1,4.66666666666667E-07,6.66666666666667E-06,0,50595,2,24,0,0,0,1,0,6.7,330,0,0,30,0,0.2,0,0.7,0,0,2,0,0,0.2,55942,0,-1,0,0,1204,278,0,0,180,Man Utd,Wolverhampton,West Brom,Aston Villa,Brighton,1.9,2.4,1.9,1.9,1.7,1.6,1.5,2,2,2,1.8,2.6,1.8,1.9,39.3
Matthew,Clarke,DEF,BHA,4400000,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,339,0,-1,0,0,0,0,0,0,0,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leighton,Clarkson,MID,LIV,4500000,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,-1,0,0,0,21,0,0,0,Everton,Sheffield United,Chelsea,Fulham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel,Clyne,DEF,CRY,4500000,0,28,2.2,4.88888888888889E-07,6.22222222222222E-06,0,51663,2,22,0,0,0,0,0,6.2,400,0,0,28,0,0.3,0,1.5,0,0,2,0,1,0.2,59779,0,-1,0,0,1145,277,0,0,172,Brighton,Fulham,Man Utd,Tottenham,West Brom,1.7,4.2,1.5,2.2,0,1.5,1.7,1.2,1.8,2.9,1.4,2.2,2.3,2,27.2
Conor,Coady,DEF,WOL,4800000,6,65,2.7,5.625E-07,1.35416666666667E-05,0,718026,4,31,0,0,0,0,0,13.5,2228,-2,0,65,2,0.8,0,3.8,2,0,7,0,0,4.6,411696,0,-1,0,0,2133,4629,0,0,378,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,2.2,5,2.7,3.2,0,3.1,2.6,2.7,2.4,2.6,2.5,2.2,2.2,2.8,46.1
Seamus,Coleman,DEF,EVE,4800000,6,31,1.34782608695652,2.80797101449275E-07,6.45833333333333E-06,0,248548,0,15,0,0,0,0,0,6.5,641,-2,0,31,2,0.3,0,1.4,1,0,2,0,1,0.6,209778,0,-1,0,0,881,4885,0,0,175,Liverpool,Southampton,West Brom,Chelsea,Burnley,1.2,1.8,0.7,0.7,0,0.8,1,0.7,1.2,0.8,1.1,0.7,1,1.3,34.7
Aaron,Connolly,FWD,BHA,5200000,0,34,1.41666666666667,2.72435897435897E-07,6.53846153846154E-06,0,106293,0,14,0,0,0,2,0,6.5,375,-3,0,34,3,0.1,0,0.7,2,0,1,0,1,0.3,81852,0,-1,0,0,655,433,0,0,84,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,1.2,1,0.7,0.8,1.1,0.9,0.7,0.7,1,0.7,0.7,0.7,0.7,0.8,41
Liam,Cooper,DEF,LEE,4300000,2,43,2.4,5.58139534883721E-07,1E-05,0,91763,3,35,0,0,0,1,0,10,793,-2,0,43,2,0.5,0,2,2,0,4,0,0,0.4,63229,0,-1,0,0,1601,1005,0,0,357,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,4.4,2.2,2.5,1.7,2.5,2,2.9,2.4,2,2.2,1.8,2.1,1.7,2.2,72.8
Theo,Corbeanu,MID,WOL,4500000,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,-1,0,0,0,22,0,0,0,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
